movie_title,year,star_cast,rating
Network,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.1
Taxi Driver,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2
Barry Lyndon,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1
Monty Python and the Holy Grail,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.2
One Flew Over the Cuckoo's Nest,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6
Dersu Uzala,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.2
The Godfather: Part II,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0
Chinatown,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1
The Sting,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2
The Godfather,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.1
A Clockwork Orange,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2
Z,1969,"Costa-Gavras (dir.), Yves Montand, Irene Papas",8.1
2001: A Space Odyssey,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3
Once Upon a Time in the West,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.4
Cool Hand Luke,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.1
La battaglia di Algeri,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0
Persona,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.1
Andrei Rublev,1966,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.0
"Il buono, il brutto, il cattivo",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8
Per qualche dollaro in più,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.4
Tengoku to jigoku,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3
The Great Escape,1963,"John Sturges (dir.), Steve McQueen, James Garner",8.2
Seppuku,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.5
To Kill a Mockingbird,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2
Lawrence of Arabia,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3
Judgment at Nuremberg,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2
Yôjinbô,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.2
Psycho,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5
The Apartment,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2
Les quatre cents coups,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.0
Some Like It Hot,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2
North by Northwest,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3
Ben-Hur,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1
Vertigo,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3
Smultronstället,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1
12 Angry Men,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9
Le notti di Cabiria,1957,"Federico Fellini (dir.), Giulietta Masina, François Périer",8.0
The Bridge on the River Kwai,1957,"David Lean (dir.), William Holden, Alec Guinness",8.1
Witness for the Prosecution,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4
Paths of Glory,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4
Det sjunde inseglet,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1
Pather Panchali,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.2
Shichinin no samurai,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6
Rear Window,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.4
Dial M for Murder,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1
On the Waterfront,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1
Tôkyô monogatari,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1
Le salaire de la peur,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1
Singin' in the Rain,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3
Ikiru,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.3
Sunset Blvd,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4
All About Eve,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2
Rashômon,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.2
The Third Man,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1
The Treasure of the Sierra Madre,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.2
 Ladri di biciclette,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.3
It's a Wonderful Life,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6
Double Indemnity,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2
Casablanca,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.4
To Be or Not to Be,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.1
Citizen Kane,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3
Rebecca,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0
The Great Dictator,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4
Mr Smith Goes to Washington,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1
Gone with the Wind,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1
Modern Times,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.5
It Happened One Night,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.0
City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.5
M - Eine Stadt sucht einen Mörder,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3
La passion de Jeanne d'Arc,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1
Metropolis,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2
The General,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1
The Gold Rush,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1
Sherlock Jr,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1
The Kid,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2
